System Name,Category,Purpose,Table Count,Active Data,Notes
custom_list,Other/Unknown,Unknown,Unknown,No,
data,Other/Unknown,Data processing schema,Unknown,No,
data1,Other/Unknown,Data processing schema,Unknown,No,
data2,Other/Unknown,Data processing schema,Unknown,No,
datman,Other/Unknown,Unknown,Unknown,No,
de_research,Other/Unknown,Unknown (Germany research),Unknown,No,
debtinsight,Research/Data,Debt market data and analytics,Unknown,No,
dealio,Other/Unknown,Unknown,Unknown,No,
dealsumm,Other/Unknown,Unknown,Unknown,No,
dealx,Other/Unknown,Unknown,Unknown,No,
default,Other/Unknown,Default schema,Unknown,No,
definitive_healthcare,Research/Data,Healthcare data and analytics,Unknown,No,
demandbase,Other/Unknown,Unknown,Unknown,No,
dssf,CRM/Sales,Salesforce,94,No,
dynamicom,Other/Unknown,Unknown,Unknown,No,
e1,Finance/ERP,Enterprise resource planning system,Unknown,No,
edp,Other/Unknown,EDP internal schema,Unknown,No,
ego,Other/Unknown,Unknown,Unknown,No,
eloqua,CRM/Sales,Marketing automation and lead management,Unknown,No,
emea_research,Other/Unknown,Unknown (EMEA research),Unknown,No,
emea_salesforce,CRM/Sales,Salesforce CRM for EMEA region,Unknown,No,
entds,Other/Unknown,Unknown,Unknown,No,
envizi,ESG/Sustainability,ESG data management and sustainability reporting,Unknown,No,
epc,ESG/Sustainability,Energy Performance Certificate data,Unknown,No,
esgmet,ESG/Sustainability,ESG metrics and reporting,Unknown,No,
essensys,Other/Unknown,Unknown,Unknown,No,
facebook,Marketing,Facebook social media data,Unknown,No,
ffs,Finance/ERP,APAC revenue forecasting system,56,No,
flex,Other/Unknown,Unknown,Unknown,No,
fms,Other/Unknown,Unknown,Unknown,No,
focus,Other/Unknown,Unknown,Unknown,No,
fortify,Compliance/Legal,Application security and vulnerability management,Unknown,No,
fotocasa,Other/Unknown,Unknown,Unknown,No,
fr_research,Other/Unknown,Unknown (France research),Unknown,No,
frame,Other/Unknown,Unknown,Unknown,No,
game,Other/Unknown,Unknown,Unknown,No,
games,Other/Unknown,Unknown,Unknown,No,
gcf,Other/Unknown,Unknown,Unknown,No,
germanvals,Other/Unknown,Unknown,Unknown,No,
gis,Other/Unknown,Geographic Information System,Unknown,No,
github,Development/IT,Code repository and version control,Unknown,No,
google,Other/Unknown,Unknown,Unknown,No,
grainger_sftp,Other/Unknown,Unknown,Unknown,No,
gred,Other/Unknown,Unknown,Unknown,No,
greds,Other/Unknown,Unknown,Unknown,No,
hank,Other/Unknown,Unknown,Unknown,No,
hff,Other/Unknown,Unknown,Unknown,No,
hk_ebase,Other/Unknown,Unknown (Hong Kong),Unknown,No,
hk_unicorn,Other/Unknown,Unknown (Hong Kong),Unknown,No,
horizon,Other/Unknown,Unknown,Unknown,No,
hud,Other/Unknown,Unknown,Unknown,No,
idealista,Other/Unknown,Unknown,Unknown,No,
ie_research,Other/Unknown,Unknown (Ireland research),Unknown,No,
ingenious,Project Management,Project and development services management,Unknown,Yes,"5,189 project records"
information_schema,Other/Unknown,System metadata schema,Unknown,No,
investor_center,Other/Unknown,Unknown,Unknown,No,
investorcenter,Other/Unknown,Unknown,Unknown,No,
iris,Other/Unknown,Unknown,Unknown,No,
isn,Procurement/Vendor,Contractor management and safety compliance,Unknown,No,
jack,Other/Unknown,Unknown,Unknown,No,
jaggaer,Procurement/Vendor,Procurement and sourcing software,Unknown,No,
jaggaeradvantage,Procurement/Vendor,Jaggaer Advantage module,Unknown,No,
jbs,Other/Unknown,Unknown,Unknown,No,
jll,Finance/ERP,JLL internal finance systems,Unknown,No,
jll_finance,Finance/ERP,JLL finance systems,Unknown,No,
jll_workdynamics,Other/Unknown,Unknown,Unknown,No,
jlllocalcomps,Other/Unknown,Unknown,Unknown,No,
jllreferencedata,Other/Unknown,Unknown,Unknown,No,
jlltracker,Other/Unknown,Unknown,Unknown,No,
job_monitor,Other/Unknown,Unknown,Unknown,No,
jobpurpose,Other/Unknown,Unknown,Unknown,No,
kato,Other/Unknown,Unknown,Unknown,No,
landtech,Other/Unknown,Unknown,Unknown,No,
lantern,Other/Unknown,Unknown,Unknown,No,
leapdh,Other/Unknown,Unknown,Unknown,No,
leadgenius,CRM/Sales,Lead generation and prospecting,Unknown,No,
leasingos,Property/Facilities,Leasing operations management,Unknown,No,
leasingos_amer,Property/Facilities,Leasing operations management (Americas region),Unknown,No,
legal,Compliance/Legal,Legal systems and case management,Unknown,No,
linkedin,Marketing,LinkedIn professional network data,Unknown,No,
london_research,Other/Unknown,Unknown (London research),Unknown,No,
marketing_leads,CRM/Sales,Marketing lead data management,Unknown,No,
marketlink,Other/Unknown,Unknown,Unknown,No,
marketplace,Other/Unknown,Unknown,Unknown,No,
marketsphere,Other/Unknown,Unknown,Unknown,No,
mbi,Other/Unknown,Unknown,Unknown,No,
mdm,Other/Unknown,Master Data Management,Unknown,No,
medallia,Analytics/BI,Customer experience management,Unknown,No,
mri,Property/Facilities,Property management software,Unknown,No,
mriau,Property/Facilities,MRI property management (Australia),Unknown,No,
mrisg,Property/Facilities,MRI property management (Singapore),Unknown,No,
mrith,Property/Facilities,MRI property management (Thailand),Unknown,No,
n1,Other/Unknown,Unknown,Unknown,No,
netsuite,Finance/ERP,Cloud-based ERP and financial management,Unknown,No,
nextgen,Other/Unknown,Unknown,Unknown,No,
nl_data_hub,Other/Unknown,Unknown (Netherlands data hub),Unknown,No,
officefinder,Other/Unknown,Unknown,Unknown,No,
olm,Other/Unknown,Unknown,Unknown,No,
outlook,Collaboration,Microsoft Outlook email and calendar,Unknown,No,
oval,CRM/Sales,Sales opportunity management tool (similar to Salesforce),2,No,
ovla,Other/Unknown,Unknown,Unknown,No,
parquet,Other/Unknown,Data format/storage schema,Unknown,No,
pdl,Other/Unknown,Unknown,Unknown,No,
pds,Other/Unknown,Unknown,Unknown,No,
peers,Other/Unknown,Unknown,Unknown,No,
pega,Project Management,Business process management and workflow automation,Unknown,No,
pendo,Customer Experience,Product analytics and user engagement,Unknown,No,
peoplesoft,Finance/ERP,Enterprise software suite (HR Finance Supply Chain),Unknown,No,
phoenix,Other/Unknown,Unknown,Unknown,No,
platformengg,Other/Unknown,Unknown,Unknown,No,
portfolio,Other/Unknown,Unknown,Unknown,No,
possiblenow,Other/Unknown,Unknown,Unknown,No,
powerbi,Analytics/BI,Microsoft Power BI business intelligence,Unknown,No,
precision,Other/Unknown,Unknown,Unknown,No,
preqin,Research/Data,Alternative assets data and research,Unknown,No,
pricing,Other/Unknown,Unknown,Unknown,No,
prism,Property/Facilities,Property management system,90,No,
prohance,Other/Unknown,Unknown,Unknown,No,
property_lite,Other/Unknown,Unknown,Unknown,No,
propertydata,Other/Unknown,Unknown,Unknown,No,
propertyhub,Other/Unknown,Unknown,Unknown,No,
pt_research,Other/Unknown,Unknown (Portugal research),Unknown,No,
qualtrics,Analytics/BI,Experience management platform,Unknown,No,
questionmark,Other/Unknown,Unknown,Unknown,No,
questionpro,Other/Unknown,Unknown,Unknown,No,
radar,Other/Unknown,Unknown,Unknown,No,
radius,Other/Unknown,Unknown,Unknown,No,
rca,Research/Data,Real Capital Analytics - commercial real estate transaction data,Unknown,No,
realinsight,Other/Unknown,Unknown,Unknown,No,
reds,Other/Unknown,Unknown,Unknown,No,
reonomy,Property/Facilities,Property intelligence and data platform,Unknown,No,
reportcraft,Other/Unknown,Unknown,Unknown,No,
resiforce,Other/Unknown,Unknown,Unknown,No,
revista,Other/Unknown,Unknown,Unknown,No,
rightmove,Other/Unknown,Unknown,Unknown,No,
sage_intacct,Finance/ERP,Financial management and accounting,Unknown,No,
salestarget,Other/Unknown,Unknown,Unknown,No,
sapphyre,Other/Unknown,Unknown,Unknown,No,
sec,Compliance/Legal,SEC filings and regulatory data,Unknown,No,
service_now_tables,Development/IT,ServiceNow IT service management,Unknown,No,
sharepoint,Collaboration,Microsoft SharePoint collaboration platform,Unknown,No,
signals,Other/Unknown,Unknown,Unknown,No,
splunk,Analytics/BI,Data analytics and monitoring platform,Unknown,No,
sproutsocial,Marketing,Social media management platform,Unknown,No,
ssdi,Other/Unknown,Unknown,Unknown,No,
str,Research/Data,Hotel and real estate data,Unknown,No,
swordfish,Other/Unknown,Unknown,Unknown,No,
tableau,Analytics/BI,Business intelligence and data visualization,Unknown,No,
teammate,Other/Unknown,Unknown,Unknown,No,
telmet,Other/Unknown,Unknown,Unknown,No,
test,Other/Unknown,Test schema,Unknown,No,
tm1,Finance/ERP,IBM Planning Analytics (formerly TM1),Unknown,No,
tme,Other/Unknown,Unknown,Unknown,No,
totango,Customer Experience,Customer success platform,Unknown,No,
trepbi,Other/Unknown,Unknown,Unknown,No,
trepp,Other/Unknown,Unknown,Unknown,No,
tririga,Property/Facilities,Integrated workplace management system,Unknown,No,
twitter,Marketing,Twitter social media data,Unknown,No,
udpcnm,Other/Unknown,Unknown,Unknown,No,
ukcmexcels,Other/Unknown,Unknown (UK),Unknown,No,
ukdata,Other/Unknown,Unknown (UK),Unknown,No,
ukdomesticepc,ESG/Sustainability,UK domestic Energy Performance Certificate data,Unknown,No,
uklandregistry,Research/Data,UK Land Registry data,Unknown,No,
ukonslocation,Other/Unknown,Unknown (UK),Unknown,No,
vts,Property/Facilities,Lease management and tenant engagement,Unknown,No,
weathersource,Other/Unknown,Unknown,Unknown,No,
webex,Collaboration,Cisco Webex video conferencing and collaboration,Unknown,No,
whiteboard,Other/Unknown,Unknown,Unknown,No,
wiz,Other/Unknown,Unknown,Unknown,No,
workday,HR/People,Human capital management and HRIS,Unknown,No,
workfront,Project Management,Work management and project collaboration,Unknown,No,
xverum,Other/Unknown,Unknown,Unknown,No,
yardi,Property/Facilities,Property management software,Unknown,No,
zendesk,Development/IT,Customer support and help desk,Unknown,No,
zoom,CRM/Sales,Video conferencing (likely used for sales activities),Unknown,No,
zoominfo,CRM/Sales,B2B contact database and sales intelligence,Unknown,No,

