city,country,state_abbrev
Douglasville,United States,GA
Dover,United States,AR
Downers Grove,United States,IL
Downey,United States,CA
Dracut,United States,MA
Draper,United States,SD
Drexel Hill,United States,PA
Dry Ridge,United States,KY
Duarte,United States,CA
Dublin,United States,CA
Ducor,United States,CA
Duluth,United States,GA
Duncan,United States,AZ
Dundalk,United States,MD
Dunn,United States,NC
Dunnellon,United States,FL
Durham,United States,CA
Duvall,United States,WA
Eagan,United States,TN
Eagle,United States,AK
Earth City,United States,MO
Easley,United States,SC
East Boston,United States,MA
East Brunswick,United States,NJ
East Hartford,United States,CT
East Lansing,United States,MI
East Meadow,United States,NY
East Palo Alto,United States,
East Pittsburgh,United States,PA
East Point,United States,KY
East Syracuse,United States,NY
Easton,United States,CT
Eastvale,United States,
Eau Claire,United States,MI
Eden Prairie,United States,MN
Edgard,United States,LA
Edgewood,United States,IA
Edina,United States,MO
Edison,United States,CA
Edmond,United States,OK
Edmonds,United States,WA
Egg Harbor Township,United States,NJ
El Cajon,United States,CA
El Centro,United States,CA
El Dorado Hills,United States,CA
El Paso,United States,AR
El Segundo,United States,CA
Eldersburg,United States,
Elgin,United States,AZ
Elizabeth,United States,AR
Elizabeth City,United States,NC
Elk Grove,United States,CA
Elk Grove Village,United States,IL
Elk River,United States,ID
Elkridge,United States,MD
Elkton,United States,FL
Ellenton,United States,FL
Ellenwood,United States,GA
Ellicott City,United States,MD
Ellisville,United States,IL
Elmhurst,United States,IL
Emeryville,United States,CA
Emmaus,United States,PA
Encinitas,United States,CA
Encino,United States,CA
Endicott,United States,NE
Enfield,United States,CT
Englewood,United States,CO
Enterprise,United States,AL
Erie,United States,CO
Erlanger,United States,KY
Escondido,United States,CA
Essex Junction,United States,VT
Etters,United States,PA
Eugene,United States,MO
Euless,United States,TX
Evans,United States,CO
Evanston,United States,IL
Everett,United States,MA
Ewing,United States,IL
Excelsior,United States,MN
Excelsior Springs,United States,MO
Exton,United States,PA
Fairfax,United States,CA
Fairfield,United States,AL
Fairhaven,United States,MA
Fairhope,United States,AL
Fairmont,United States,MN
Fairport,United States,NY
Fairview Heights,United States,IL
Fall River,United States,KS
Falls Church,United States,VA
Fargo,United States,GA
Farmers Branch,United States,
Farmingdale,United States,ME
Farmington,United States,AR
Fayetteville,United States,AR
Federal Way,United States,WA
Fenton,United States,IA
Fernandina Beach,United States,FL
Fillmore,United States,CA
Fishkill,United States,NY
Fishsersville,United States,
Fitchburg,United States,MA
Flagler Beach,United States,FL
Flagstaff,United States,AZ
Flint,United States,MI
Florence,United States,AL
Florham Park,United States,NJ
Florissant,United States,CO
Flower Mound,United States,TX
Flushing,United States,MI
Folsom,United States,CA
Fontana,United States,CA
Foothill Ranch,United States,CA
Forest,United States,IN
Forest Lake,United States,MN
Forest Park,United States,GA
Forestdale,United States,MA
Forestville,United States,CA
Fort Bragg,United States,CA
Fort Collins,United States,CO
Fort Lauderdale,United States,FL
Fort Lee,United States,NJ
Fort Mill,United States,SC
Fort Myers,United States,FL
Fort Smith,United States,AR
Fort Walton Beach,United States,FL
Fort Worth,United States,TX
Foster City,United States,MI
Fountain Hills,United States,AZ
Fountain Valley,United States,CA
Foxborough,United States,
Framingham,United States,MA
Frankfort,United States,IL
Franklin,United States,AL
Franklin Lakes,United States,NJ
Franklin Park,United States,IL
Franklinville,United States,NC
Frederick,United States,CO
Fredericksburg,United States,IA
Fredericktown,United States,MO
Fremont,United States,CA
Fresh Meadows,United States,NY
Fresno,United States,CA
Friendswood,United States,TX
Frisco,United States,CO
Frontenac,United States,KS
Fruitland Park,United States,FL
Ft Lauderdale,United States,
Ft Worth,United States,
Fullerton,United States,CA
Fulton,United States,AL
Fuquay Varina,United States,NC
Gainesville,United States,AL
Gaithersburg,United States,MD
Gallatin,United States,MO
Galt,United States,CA
Galveston,United States,IN
Gambrills,United States,MD
Garden City,United States,AL
Garden City Park,United States,
Garden Grove,United States,CA
Gardena,United States,CA
Garland,United States,KS
Garner,United States,AR
Gastonia,United States,NC
Geneva,United States,AL
Georgetown,United States,CA
Germantown,United States,IL
Gilbert,United States,AR
Gilroy,United States,CA
Glastonbury,United States,CT
Glen Allen,United States,AL
Glen Burnie,United States,MD
Glen Cove,United States,ME
Glen Mills,United States,PA
Glen Oaks,United States,NY
Glendale,United States,AZ
Glendora,United States,CA
Glenview,United States,IL
Gold River,United States,
Golden,United States,CO
Golden Valley,United States,AZ
Goldenrod,United States,FL
Goldsboro,United States,MD
Goleta,United States,CA
Gonzales,United States,CA
Goodlettsville,United States,TN
Goodyear,United States,AZ
Granada Hills,United States,CA
Granby,United States,CO
Grand Junction,United States,CO
Grand Prairie,United States,TX
Grand Rapids,United States,MI
Grand Terrace,United States,CA
Grandview,United States,IA
Grapevine,United States,AR
Grass Valley,United States,CA
Grayslake,United States,IL
Great Neck,United States,NY
Greeley,United States,CO
Green Bay,United States,VA
Greenbelt,United States,MD
Greencastle,United States,IN
Greendale,United States,WI
Greenfield,United States,CA
Greenlawn,United States,NY
Greensboro,United States,AL
Greensburg,United States,IN
Greenville,United States,AL
Greenwich,United States,CT
Greenwood,United States,AR
Greenwood Village,United States,
Greer,United States,AZ
Gridley,United States,CA
Griffin,United States,GA
Groveland,United States,CA
Groveport,United States,OH
Grover Beach,United States,CA
Guerneville,United States,CA
Gulf Breeze,United States,FL
Gulfport,United States,MS
HOUSTON,United States,TX
Hacienda Heights,United States,CA
Hackensack,United States,MN
Hagerstown,United States,IN
Hailey,United States,ID
Haines City,United States,FL
Halethorpe,United States,MD
Half Moon Bay,United States,CA
Halifax,United States,MA
Hallandale,United States,FL
Hallandale Beach,United States,
Hamilton,United States,AL
Hamlet,United States,IN
Hammond,United States,IL
Hampton,United States,AR
Hanahan,United States,SC
Hanford,United States,CA
Hanover,United States,CT
Hanover Park,United States,IL
Harker Heights,United States,TX
Harlingen,United States,TX
Harmans,United States,MD
Harrisburg,United States,AR
Harrison,United States,AR
Hartford,United States,AL
Hartland,United States,ME
Hartsville,United States,IN
Harvey,United States,AR
Hato Rey,United States,
Hattiesburg,United States,MS
Hauppauge,United States,NY
Haverhill,United States,IA
Hawaiian Gardens,United States,CA
Hayward,United States,CA
Hazelwood,United States,MO
Healdsburg,United States,CA
Hebron,United States,CT
Helena,United States,AL
Hemet,United States,CA
Hempstead,United States,NY
Henderson,United States,NV
Hendersonville,United States,NC
Henrico,United States,NC
Hermitage,United States,AR
Herndon,United States,KS
Hershey,United States,NE
Hesperia,United States,CA
Hewlett,United States,NY
Hialeah,United States,FL
Hialeah Gardens,United States,
Hiawatha,United States,IA
Hickory,United States,KY
Hickory Hills,United States,IL
Hicksville,United States,NY
High Point,United States,MO
Highland,United States,CA
Highland Park,United States,IL
Highlands,United States,NC
Highlands Ranch,United States,
Hilliard,United States,FL
Hillsboro,United States,AL
Hillsville,United States,PA
Hilo,United States,HI
Hilton Head Island,United States,SC
Hingham,United States,MA
Hinsdale,United States,IL
Hiram,United States,GA
Hixson,United States,TN
Hoboken,United States,GA
Hodges,United States,AL
Hoffman Estates,United States,IL
Holbrook,United States,AZ
Holden,United States,LA
Holladay,United States,TN
Hollister,United States,CA
Holly Springs,United States,GA
Hollywood,United States,AL
Holmdel,United States,NJ
Holt,United States,CA
Holtsville,United States,NY
Homestead,United States,FL
Homewood,United States,CA
Honolulu,United States,HI
Hoover,United States,
Hopatcong,United States,NJ
Hopkins,United States,MI
Horsham,United States,PA
Hot Springs,United States,MT
Houma,United States,LA
Houston,United States,TX
Howard Beach,United States,NY
Howell,United States,MI
Humble,United States,TX
Hunker,United States,PA
Hunt Valley,United States,MD
Hunt Vally,United States,
Huntersville,United States,NC
Huntington,United States,AR
Huntington Beach,United States,CA
Huntington Park,United States,CA
Huntington Station,United States,NY
Huntley,United States,IL
Huntsville,United States,AL
Hurricane,United States,UT
Hyattsville,United States,MD
Idaho Falls,United States,ID
Idyllwild,United States,CA
Immokalee,United States,FL
Independence,United States,CA
Indian Land,United States,
Indian Trail,United States,NC
Indian Wells,United States,AZ
Indiana,United States,PA
Indianapolis,United States,IN
Indianland,United States,
Indio,United States,CA
Ingleside,United States,IL
Inglewood,United States,CA
Inglis,United States,FL
Inman,United States,KS
Intercession City,United States,FL
Inverness,United States,CA
Inyokern,United States,CA
Irmo,United States,SC
Irvine,United States,CA
Irving,United States,IL
Irwindale,United States,
Iselin,United States,NJ
Islip,United States,NY
Issaquah,United States,WA
Itasca,United States,IL
JACKSONVILLE,United States,FL
Jackson,United States,AL
Jackson Heights,United States,NY
Jacksonville,United States,FL
Jamaica,United States,IA
Janesville,United States,CA
Jefferson City,United States,MO
Jeffersonville,United States,GA
Jennings,United States,FL
Jericho,United States,NY
Jersey City,United States,NJ
Johns Creek,United States,
Johns Island,United States,SC
Johnston,United States,IA
Johnstown,United States,CO
Joliet,United States,IL
Jonesville,United States,IN
Juncos,United States,PR
Juneau,United States,AK
Jupiter,United States,FL
Kansas City,United States,MO
Katy,United States,TX
Keams Canyon,United States,AZ
Kennebunk,United States,ME
Kenner,United States,LA
Kennesaw,United States,GA
Kennewick,United States,WA
Kenosha,United States,WI
Kensington,United States,KS
Kent,United States,AL
Kernersville,United States,NC
Ketchum,United States,ID
Key Largo,United States,FL
Kill Devil Hills,United States,NC
Killeen,United States,TX
King,United States,NC
King of Prussia,United States,PA
Kings Mountain,United States,KY
Kingstree,United States,SC
Kingwood,United States,TX
Kinston,United States,AL
Kirkland,United States,AZ
Kissimmee,United States,FL
Knoxville,United States,AL
Kokomo,United States,IN
Kyle,United States,SD
LA,United States,CA
LOS ANGELES,United States,CA
La Canada Flintridge,United States,CA
La Crescenta,United States,CA
La Crosse,United States,FL
La Grange,United States,AR
La Habra,United States,CA
La Jolla,United States,CA
La Mesa,United States,CA
La Mirada,United States,CA
La Palma,United States,CA
La Puente,United States,CA
La Quinta,United States,CA
La Verne,United States,CA
LaPlace,United States,
Labadieville,United States,LA
Ladera Ranch,United States,CA
Ladson,United States,SC
Lafayette,United States,AL
Laguna Beach,United States,CA
Laguna Hills,United States,CA
Laguna Niguel,United States,CA
Lake Arrowhead,United States,CA
Lake Buena Vista,United States,
Lake Charles,United States,LA
Lake Elmo,United States,MN
Lake Elsinore,United States,CA
Lake Forest,United States,CA
Lake Grove,United States,NY
Lake Havasu City,United States,AZ
Lake Isabella,United States,CA
Lake Jackson,United States,TX
Lake Mary,United States,FL
Lake Oswego,United States,OR
Lake Park,United States,GA
Lake Placid,United States,FL
Lake Providence,United States,LA
Lake Stevens,United States,WA
Lake Success,United States,
Lake Wales,United States,FL
Lake Worth,United States,FL
Lake Wylie,United States,
Lake Zurich,United States,IL
Lakeland,United States,FL
Lakeside,United States,AZ
Lakeville,United States,CT
Lakewood,United States,CA
Lakewood Ranch,United States,
Lakewoood,United States,
Lambertville,United States,MI
Lancaster,United States,CA
Langhorne,United States,PA
Lanham,United States,MD
Lansing,United States,IA
Laredo,United States,MO
Largo,United States,FL
Larkspur,United States,CA
Las Cruces,United States,NM
Las Vegas,United States,NV
Latham,United States,IL
Lathrop,United States,CA
Lauderdale Lakes,United States,
Lauderhill,United States,
Laurel,United States,DE
Laurens,United States,IA
Lavonia,United States,GA
Lawndale,United States,CA
Lawrence,United States,KS
Lawrenceville,United States,GA
Lawton,United States,IA
Layton,United States,NJ
League City,United States,TX
Leawood,United States,KS
Lebanon,United States,CT
Leeds,United States,AL
Lees Summit,United States,MO
Leesburg,United States,AL
Lehi,United States,UT
Lehigh Acres,United States,FL
Leland,United States,IA
Lemon Grove,United States,CA
Lenexa,United States,KS
Lenoir,United States,NC
Leominster,United States,MA
Leonardtown,United States,MD
Letrobe,United States,
Levittown,United States,NY
Lewisville,United States,AR
Lexington,United States,KY
Liberty,United States,IL
Liberty Twp,United States,
Lihue,United States,HI
Lilburn,United States,GA
Lima,United States,IL
Lincoln,United States,AL
Lincoln City,United States,IN
Lincolnshire,United States,IL
Lincolnton,United States,GA
Lincolnwood,United States,IL
Linden,United States,AL
Lindenhurst,United States,NY
Lino Lakes,United States,
Linthicum,United States,
Lisle,United States,IL
Litchfield Park,United States,AZ
Lithia,United States,FL
Lithonia,United States,GA
Little Falls,United States,MN
Little River,United States,AL
Little Rock,United States,AR
Little Silver,United States,NJ
Littleton,United States,CO
Live Oak,United States,CA
Livermore,United States,CA
Liverpool,United States,IL
Livingston,United States,AL
Lodi,United States,CA
Logan,United States,AL
Loganville,United States,GA
Loma Linda,United States,CA
Lombard,United States,IL
London,United States,AR
Lone Tree,United States,CO
Long Beach,United States,CA
Longboat Key,United States,FL
Longmont,United States,CO
Longwood,United States,FL
Loris,United States,SC
Lorton,United States,NE
Los Alamitos,United States,CA
Los Altos,United States,CA
Los Angeles,United States,CA
Los Banos,United States,CA
Los Gatos,United States,CA
Los angeles,United States,CA
Loudon,United States,NH
Louisburg,United States,KS
Louisville,United States,KY
Loveland,United States,CO
Lowell,United States,AR
Lubbock,United States,TX
Lugoff,United States,SC
Luling,United States,LA
Lumberton,United States,MS
Lutz,United States,FL
Lynbrook,United States,NY
Lynchburg,United States,MO
Lynn,United States,AL
Lynnfield,United States,MA
Lynnwood,United States,WA
MIAMI BEACH,United States,FL
Mableton,United States,GA
Machesney Park,United States,IL
Madera,United States,CA
Madison,United States,AL
Madisonville,United States,KY
Mahwah,United States,NJ
Maiden,United States,NC
Maitland,United States,FL
Malden,United States,IL
Malvern,United States,AL
Mammoth Lakes,United States,CA
Manalapan,United States,
Manassas,United States,GA
Manchester,United States,CA
Mandeville,United States,LA
Manhattan Beach,United States,CA
Manning,United States,IA
Manomet,United States,MA
Mansfield,United States,AR
Manteca,United States,CA
Maple Grove,United States,
Maple Valley,United States,WA
Maplewood,United States,NJ
Marathon,United States,FL
Margate,United States,FL
Marianna,United States,AR
Maricopa,United States,AZ
Marietta,United States,GA
Marina,United States,CA
Marina del Rey,United States,CA
Marion,United States,AL
Marksville,United States,LA
Marlborough,United States,CT
Marlton,United States,NJ
Marrero,United States,LA
Marshall,United States,AK
Marshfield,United States,MA
Marshville,United States,NC
Martinez,United States,CA
Martinsburg,United States,IA
Martinsville,United States,IL
Marysville,United States,CA
Mashpee,United States,MA
Mason,United States,IL
Massapequa Park,United States,NY
Matawan,United States,NJ
Matteson,United States,IL
Matthews,United States,GA
Mattituck,United States,NY
Mattoon,United States,IL
Maxton,United States,NC
Mayville,United States,MI
Maywood,United States,CA
Mc Lean,United States,IL
McDonough,United States,GA
McHenry,United States,IL
McKinney,United States,TX
McLean,United States,NE
Mclean,United States,NE
Mebane,United States,NC
Mechanicsburg,United States,IL
Mechanicsville,United States,IA
Media,United States,IL
Melbourne,United States,AR
Melrose,United States,FL
Melville,United States,LA
Memphis,United States,TN
Menands,United States,
Menifee,United States,AR
Menlo Park,United States,CA
Menomonee Falls,United States,WI
Menomonie,United States,WI
Mequon,United States,WI
Mercer Island,United States,WA
Meriden,United States,CT
Meridian,United States,CA
Merritt Island,United States,FL
Mesa,United States,AZ
Mesquite,United States,NM
Metairie,United States,LA
Methuen,United States,MA
Miami,United States,FL
Miami Beach,United States,FL
Miami Shores,United States,
Miamisburg,United States,OH
Middle River,United States,MD
Middle Village,United States,NY
Middletown,United States,CA
Midlothian,United States,IL
Milford,United States,CA
Mill Creek,United States,CA
Mill Valley,United States,CA
Millbrae,United States,CA
Milpitas,United States,CA
Milton,United States,DE
Milwaukee,United States,WI
Milwaukie,United States,
Minden,United States,IA
Minenapolis,United States,
Minneapolis,United States,MN
Minnetonka,United States,MN
Miramar,United States,
Mission,United States,KS
Mission Viejo,United States,CA
Missoula,United States,MT
Mobile,United States,AL
Mocksville,United States,NC
Modesto,United States,CA
Monarch Mill,United States,
Monroe,United States,AR
Monroeville,United States,AL
Monrovia,United States,CA
Montclair,United States,CA
Montebello,United States,CA
Monterey Park,United States,CA
Montgomery,United States,AL
Monticello,United States,AR
Montrose,United States,AL
Monument,United States,CO
Moon Township,United States,
Mooresville,United States,AL
Moreno Valley,United States,CA
Morgan Hill,United States,CA
Morganton,United States,GA
Morgantown,United States,IN
Morris Plains,United States,NJ
Morristown,United States,AZ
Morrisville,United States,MO
Morton Grove,United States,IL
Moscow,United States,AR
Moultonborough,United States,NH
Mound,United States,MN
Moundsville,United States,WV
Mount Dora,United States,FL
Mount Gilead,United States,NC
Mount Holly,United States,AR
Mount Juliet,United States,TN
Mount Pleasant,United States,AR
Mount Prospect,United States,IL
Mountain Home,United States,AR
Mountain View,United States,AR
Mountville,United States,PA
Mt Laurel,United States,
Mt Pleasant,United States,
Mt. Pleasant,United States,
Mukilteo,United States,WA
Mullins,United States,SC
Multi,United States,
Muncie,United States,IL
Munster,United States,IN
Murfreesboro,United States,AR
Murphy,United States,ID
Murrells Inlet,United States,SC
Murrieta,United States,CA
Myerstown,United States,PA
Myrtle Beach,United States,SC
NEW YORK,United States,NY
Nanuet,United States,NY
Napa,United States,CA
Naperville,United States,IL
Naples,United States,FL
Napoleonville,United States,LA
Narragansett,United States,RI
Nashua,United States,IA
Nashville,United States,TN
Neenah,United States,WI
Neptune Beach,United States,FL
Neptune City,United States,
Netcong,United States,NJ
New Bedford,United States,IL
New Berlin,United States,IL
New Bern,United States,NC
New Braunfels,United States,TX
New Britain,United States,CT
New Castle,United States,AL
New Freedom,United States,PA
New Hartford,United States,CT
New Hill,United States,NC
New Hyde Park,United States,NY
New Iberia,United States,LA
New Lenox,United States,IL
New London,United States,CT
New Orleans,United States,LA
New Port Richey,United States,FL
